Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"242","LB","Sammy Omosigho","Oklahoma Sooners","72.2","0.037","","","Not Scored"
"243","TE","Tanner Koziol","Houston Cougars","78.0","0.214","","","Not Scored"
"244","ED","Will Heldt","Clemson Tigers","84.1","0.148","","","Not Scored"
"245","QB","Brendan Sorsby","Cincinnati Bearcats","90.4","0.637","","","Not Scored"
"246","DI","Cole Brevard","Texas Longhorns","72.5","0.046","","","Not Scored"
"247","T","Trey Zuhn III","Texas A&M Aggies","72.7","0.081","","","Not Scored"
"248","WR","Chase Roberts","BYU Cougars","74.8","0.176","","","Not Scored"
"249","S","Adon Shuler","Notre Dame Fighting Irish","76.5","0.142","","","Not Scored"
"250","S","Bray Hubbard","Alabama Crimson Tide","84.6","0.354","","","Not Scored"
"251","QB","Josh Hoover","TCU Horned Frogs","76.7","0.295","","","Not Scored"
"252","C","Logan Jones","Iowa Hawkeyes","78.9","0.079","","","Not Scored"
"253","QB","Jalon Daniels","Kansas Jayhawks","76.5","0.052","","","Not Scored"
"254","ED","Suntarine Perkins","Mississippi Rebels","78.9","0.230","","","Not Scored"
"255","HB","Darius Taylor","Minnesota Golden Gophers","78.5","0.032","","","Not Scored"
"256","WR","Brenen Thompson","Mississippi State Bulldogs","78.6","0.235","","","Not Scored"
"257","QB","Diego Pavia","Vanderbilt Commodores","92.3","1.119","","","Not Scored"
"258","DI","Lee Hunter","Texas Tech Red Raiders","80.8","0.233","","","Not Scored"
"259","T","Kage Casey","Boise State Broncos","80.0","0.104","","","Not Scored"
"260","T","Max Iheanachor","Arizona State Sun Devils","72.7","0.056","","","Not Scored"
"261","S","Bud Clark","TCU Horned Frogs","81.6","0.103","","","Not Scored"
"262","WR","Duce Robinson","Florida State Seminoles","79.3","0.160","","","Not Scored"
"263","QB","Darian Mensah","Duke Blue Devils","84.8","0.598","","","Not Scored"
"264","CB","Domani Jackson","Alabama Crimson Tide","73.4","0.147","","","Not Scored"
"265","HB","Mark Fletcher Jr.","Miami (FL) Hurricanes","86.8","0.125","","","Not Scored"
"266","ED","Damon Wilson II","Missouri Tigers","77.4","0.042","","","Not Scored"
"267","QB","Beau Pribula","Missouri Tigers","75.4","0.043","","","Not Scored"
"268","DI","Zxavian Harris","Mississippi Rebels","73.1","0.166","","","Not Scored"
"269","QB","Athan Kaliakmanis","Rutgers Scarlet Knights","88.8","0.851","","","Not Scored"
"270","WR","Kevin Coleman Jr.","Missouri Tigers","79.0","0.205","","","Not Scored"
"271","QB","Luke Altmyer","Illinois Fighting Illini","79.7","0.562","","","Not Scored"
"272","HB","Dante Dowdell","Kentucky Wildcats","72.4","-0.046","","","Not Scored"
"273","S","Emmanuel McNeil-Warren","Toledo Rockets","90.9","0.431","","","Not Scored"
"274","HB","Hollywood Smothers","North Carolina State Wolfpack","78.4","-0.016","","","Not Scored"
"275","DI","Rayshaun Benny","Michigan Wolverines","77.6","0.172","","","Not Scored"
"276","QB","Taylen Green","Arkansas Razorbacks","83.0","0.182","","","Not Scored"
"277","HB","Dean Connors","Houston Cougars","76.0","0.028","","","Not Scored"
"278","WR","Eric McAlister","TCU Horned Frogs","76.2","0.206","","","Not Scored"
"279","QB","Tommy Castellanos","Florida State Seminoles","86.4","0.650","","","Not Scored"
"280","CB","Josh Moten","Southern Miss Golden Eagles","79.8","0.164","","","Not Scored"
"281","LB","Rasheem Biles","Pittsburgh Panthers","84.6","0.225","","","Not Scored"
"282","QB","Byrum Brown","USF Bulls","91.4","0.706","","","Not Scored"
"283","S","Jalen Catalon","Missouri Tigers","74.7","0.078","","","Not Scored"
"284","QB","Avery Johnson","Kansas State Wildcats","74.8","0.307","","","Not Scored"
"285","C","Pat Coogan","Indiana Hoosiers","76.3","0.119","","","Not Scored"
"286","WR","De'Zhaun Stribling","Mississippi Rebels","78.7","0.370","","","Not Scored"
"287","ED","Eric O'Neill","Rutgers Scarlet Knights","74.4","0.064","","","Not Scored"
"288","WR","Trebor Pena","Penn State Nittany Lions","74.9","0.068","","","Not Scored"
"289","S","Peyton Bowen","Oklahoma Sooners","78.2","0.183","","","Not Scored"
"290","QB","Jake Retzlaff","Tulane Green Wave","81.6","0.356","","","Not Scored"
"291","QB","Conner Weigman","Houston Cougars","73.5","-0.106","","","Not Scored"
"292","QB","Rocco Becht","Iowa State Cyclones","80.2","0.315","","","Not Scored"
"293","HB","Desmond Reid","Pittsburgh Panthers","80.3","0.094","","","Not Scored"
"294","DI","Gracen Halton","Oklahoma Sooners","84.7","0.192","","","Not Scored"
"295","ED","John Henry Daley","Utah Utes","92.4","0.191","","","Not Scored"
"296","T","Nolan Rucci","Penn State Nittany Lions","75.4","0.044","","","Not Scored"
"297","S","VJ Payne","Kansas State Wildcats","73.3","0.145","","","Not Scored"
"298","HB","Jahiem White","West Virginia Mountaineers","74.0","-0.001","","","Not Scored"
"299","QB","Kevin Jennings","SMU Mustangs","78.5","0.322","","","Not Scored"
"300","CB","Jyaire Hill","Michigan Wolverines","77.3","0.126","","","Not Scored"
"301","HB","Noah Whittington","Oregon Ducks","83.7","0.044","","","Not Scored"
"302","QB","Devon Dampier","Utah Utes","84.0","0.265","","","Not Scored"
"303","ED","Princewill Umanmielen","Mississippi Rebels","74.6","0.057","","","Not Scored"
"304","WR","Hank Beatty","Illinois Fighting Illini","82.2","0.275","","","Not Scored"
"305","DI","Brandon Cleveland","North Carolina State Wolfpack","72.8","0.064","","","Not Scored"
"306","CB","Antonio Kite","Mississippi Rebels","78.1","0.249","","","Not Scored"
